Z  	N  	halflife           	decayMode
68	87	318	EC      
68	87	318	A       
68	88	1170	EC      
68	88	1170	A       
68	89	1119	EC      
68	89	0.076	IT      
68	90	8244	EC      
68	91	2160	EC      
68	92	102888	EC      
68	93	11556	EC      
68	94	infinity                 	        
68	95	4500	EC      
68	96	infinity                 	        
68	97	37296	EC      
68	98	infinity                 	        
68	99	infinity                 	        
68	99	2.269	IT      
68	100	infinity                 	        
68	101	811468.8	B-      
68	102	infinity                 	        
68	103	27057.6	B-      
68	104	177480	B-      
68	105	84	B-      
68	106	192	B-      
68	107	72	B-      
68	108	                         	B-      
68	109	                         	B-      
69	75	0.0000019	P       
69	76	0.00000317	P       
69	77	0.08	P       
69	77	0.08	EC      
69	77	0.2	P       
69	77	0.2	EC      
69	78	0.58	EC      
69	78	0.58	P       
69	78	0.00036	P       
69	79	0.7	EC      
69	80	0.9	EC      
69	80	0.9	EP      
69	81	2.2	EC      
69	81	0.0052	IT      
69	82	4.17	EC      
69	82	6.6	EC      
69	83	8	EC      
69	83	5.2	EC      
69	84	1.48	A       
69	84	1.48	EC      
69	84	2.5	A       
69	84	2.5	EC      
69	85	8.1	A       
69	85	8.1	EC      
69	85	3.3	EC      
69	85	3.3	IT      
69	85	3.3	A       
69	86	21.6	EC      
69	86	21.6	A       
69	86	45	EC      
69	86	45	A       
69	87	83.8	EC      
69	87	83.8	A       
69	88	217.8	EC      
69	89	238.8	EC      
69	89	20	EC      
69	90	547.8	EC      
69	91	564	EC      
69	91	74.5	IT      
69	91	74.5	EC      
69	92	1812	EC      
69	93	1302	EC      
69	93	24.3	IT      
69	93	24.3	EC      
69	94	6516	EC      
69	95	120	EC      
69	95	306	IT      
69	95	306	EC      
69	96	108216	EC      
69	97	27720	EC      
69	97	0.34	IT      
69	98	799200	EC      
69	99	8043839.1	EC      
69	99	8043839.1	B-      
69	100	infinity                 	        
69	101	11110000	B-      
69	101	11110000	EC      
69	102	60591000	B-      
69	103	228960	B-      
69	104	29664	B-      
69	105	324	B-      
69	105	2.29	IT      
69	105	2.29	B-      
69	106	912	B-      
69	107	114	B-      
69	108	90	B-      
69	109	0.0000003	B-      
69	110	                         	B-      
70	78	                         	EC      
70	79	0.7	EC      
70	79	0.7	EP      
70	80	0.0000002	EC      
70	81	1.6	EC      
70	81	1.6	EP      
70	81	1.6	EC      
70	81	1.6	IT      
70	81	1.6	EP      
70	82	3.03	EP      
70	82	3.03	EC      
70	83	4.2	A       
70	83	4.2	EC      
70	84	0.409	A       
70	84	0.409	EC      
70	85	1.793	A       
70	85	1.793	EC      
70	86	26.1	EC      
70	86	26.1	A       
70	87	38.6	EC      
70	87	38.6	A       
70	88	89.4	A       
70	88	89.4	EC      
70	89	100.2	EC      
70	90	288	EC      
70	91	252	EC      
70	92	1132.2	EC      
70	93	663	EC      
70	94	4548	EC      
70	95	594	EC      
70	96	204120	EC      
70	97	1050	EC      
70	98	infinity                 	        
70	99	2766355.2	EC      
70	99	46	IT      
70	100	infinity                 	        
70	101	infinity                 	        
70	101	0.00525	IT      
70	102	infinity                 	        
70	103	infinity                 	        
70	104	infinity                 	        
70	105	361583.1	B-      
70	105	0.0682	IT      
70	106	infinity                 	        
70	106	11.4	IT      
70	107	6879.6	B-      
70	107	6.41	IT      
70	108	4440	B-      
70	109	480	B-      
70	110	144	B-      
70	111	                         	B-      
71	79	0.045	P       
71	79	0.045	EC      
71	80	0.0806	P       
71	80	0.0806	EC      
71	81	0.7	EC      
71	81	0.7	EP      
71	82	0.9	A       
71	82	0.9	EC      
71	83	                         	        
71	83	1.12	EC      
71	84	0.068	A       
71	84	0.068	EC      
71	84	0.138	EC      
71	84	0.138	A       
71	84	0.00269	A       
71	85	0.494	A       
71	85	0.494	EC      
71	85	0.198	A       
71	86	6.8	A       
71	86	4.79	EC      
71	86	4.79	A       
71	87	10.6	EC      
71	87	10.6	A       
71	88	12.1	EC      
71	88	12.1	A       
71	89	36.1	EC      
71	89	36.1	A       
71	89	40	EC      
71	89	40	A       
71	90	77	EC      
71	90	0.0073	IT      
71	91	82.2	EC      
71	91	114	EC      
71	91	90	EC      
71	92	238.2	EC      
71	93	188.4	EC      
71	94	644.4	EC      
71	95	159	EC      
71	95	84.6	EC      
71	95	84.6	IT      
71	95	127.2	EC      
71	95	127.2	IT      
71	96	3090	EC      
71	96	60	EC      
71	96	60	IT      
71	97	330	EC      
71	97	402	EC      
71	97	402	IT      
71	98	122616	EC      
71	98	160	IT      
71	99	173836.8	EC      
71	99	0.67	IT      
71	100	711936	EC      
71	100	79	IT      
71	101	578880	EC      
71	101	222	IT      
71	102	43230000	EC      
71	103	104460000	EC      
71	103	12270000	IT      
71	103	12270000	EC      
71	104	infinity                 	        
71	105	1187000000000000000	B-      
71	105	13190.4	B-      
71	105	13190.4	EC      
71	106	574300.8	B-      
71	106	13860000	IT      
71	106	13860000	B-      
71	106	360	B-      
71	106	360	IT      
71	107	1704	B-      
71	107	1386	B-      
71	108	16524	B-      
71	108	0.0031	IT      
71	109	342	B-      
71	110	210	B-      
71	111	120	B-      
71	112	58	B-      
71	113	19	B-      
72	81	0.00000006	EC      
72	82	2	EC      
72	82	2	A       
72	83	0.84	EC      
72	84	0.023	A       
72	84	0.00052	A       
72	85	0.11	A       
72	85	0.11	EC      
72	86	2.85	A       
72	86	2.85	EC      
72	87	5.6	EC      
72	87	5.6	A       
72	88	13.6	EC      
72	88	13.6	A       
72	89	18.2	EC      
72	89	18.2	A       
72	90	39.4	EC      
72	90	39.4	A       
72	91	40	EC      
72	91	40	A       
72	92	111	EC      
72	93	76	EC      
72	94	406.2	EC      
72	95	122.1	EC      
72	96	1557	EC      
72	97	194.4	EC      
72	98	57636	EC      
72	99	43560	EC      
72	99	29.5	IT      
72	99	29.5	EC      
72	100	59010000	EC      
72	101	84960	EC      
72	102	63120000000000000000000	A       
72	103	6048000	EC      
72	104	infinity                 	        
72	105	infinity                 	        
72	105	1.09	IT      
72	105	3084	IT      
72	106	infinity                 	        
72	106	4	IT      
72	106	978300000	IT      
72	107	infinity                 	        
72	107	18.67	IT      
72	107	2164320	IT      
72	108	infinity                 	        
72	108	19692	IT      
72	108	19692	B-      
72	109	3662496	B-      
72	109	0.0015	IT      
72	110	280900000000000	B-      
72	110	3690	B-      
72	110	3690	IT      
72	111	3664.8	B-      
72	112	14832	B-      
72	112	48	IT      
72	113	210	B-      
72	114	156	B-      
72	115	0.00000027	B-      
72	116	                         	B-      
72	117	                         	        
73	82	0.0029	P       
73	83	0.144	P       
73	83	0.144	EC      
73	83	0.36	EC      
73	83	0.36	P       
73	84	0.0101	A       
73	84	0.0101	P       
73	84	0.0043	A       
73	84	0.0017	A       
73	85	0.055	A       
73	85	0.055	EC      
73	85	0.0367	A       
73	85	0.0367	EC      
73	86	0.83	EC      
73	86	0.83	A       
73	86	0.56	A       
73	86	0.56	EC      
73	87	1.55	EC      
73	87	1.55	A       
73	87	1.7	        
73	88	                         	EC      
73	88	                         	A       
73	88	3.08	EC      
73	88	3.08	A       
73	89	3.57	EC      
73	89	3.57	A       
73	90	10.6	EC      
73	90	10.6	A       
73	91	14.2	EC      
73	92	31	EC      
73	93	34.4	EC      
73	94	80	EC      
73	95	120	EC      
73	96	294	EC      
73	97	405.6	EC      
73	98	1398	EC      
73	99	2208	EC      
73	100	11304	EC      
73	101	4104	EC      
73	102	37800	EC      
73	103	29124	EC      
73	104	203616	EC      
73	105	558.6	EC      
73	105	8496	EC      
73	105	0.058	IT      
73	105	0.29	IT      
73	106	57430000	EC      
73	106	0.009	IT      
73	106	0.0541	IT      
73	107	29354.4	EC      
73	107	29354.4	B-      
73	107	37870000000000000000000	EC      
73	107	37870000000000000000000	B-      
73	108	infinity                 	        
73	109	9913536	B-      
73	109	0.283	IT      
73	109	950.4	IT      
73	110	440639.1	B-      
73	111	31319.1	B-      
73	112	2964	B-      
73	112	0.001	        
73	113	630	B-      
73	113	92.4	B-      
73	114	138	B-      
73	114	22	B-      
73	114	22	IT      
73	114	300	IT      
73	114	300	B-      
73	115	19.6	B-      
73	116	0.0000016	B-      
73	117	5.3	B-      
73	118	0.0000003	B-      
73	119	2.2	B-      
74	83	0.275	EC      
74	84	0.00125	A       
74	84	0.000143	IT      
74	84	0.000143	A       
74	85	0.0073	A       
74	85	0.0073	EC      
74	86	0.091	A       
74	87	0.409	A       
74	87	0.409	EC      
74	88	1.36	EC      
74	88	1.36	A       
74	89	2.67	EC      
74	89	2.67	A       
74	90	6.3	EC      
74	90	6.3	A       
74	91	5.1	EC      
74	91	5.1	A       
74	92	19.2	EC      
74	92	19.2	A       
74	93	19.9	EC      
74	93	19.9	A       
74	94	50.9	EC      
74	94	50.9	A       
74	95	74	EC      
74	96	145.2	EC      
74	97	142.8	EC      
74	98	396	EC      
74	99	456	EC      
74	100	1992	EC      
74	101	2112	EC      
74	102	9000	EC      
74	103	7920	EC      
74	104	1866240	EC      
74	105	2223	EC      
74	105	384	IT      
74	105	384	EC      
74	106	20828000000000000000000000	2EC     
74	107	10472000	EC      
74	108	infinity                 	        
74	109	410200000000000000000000000	A       
74	109	5.2	IT      
74	110	infinity                 	        
74	111	6488639.1	B-      
74	111	100.2	IT      
74	112	725800000000000000000000000	2B-     
74	112	0.003	IT      
74	113	86400	B-      
74	114	6028992	B-      
74	115	642	B-      
74	116	1800	B-      
74	116	0.0031	IT      
74	117	0.0000003	B-      
74	118	                         	B-      
74	119	0.0000003	B-      
74	120	0.0000003	B-      
75	84	                         	        
75	85	0.00082	P       
75	85	0.00082	A       
75	86	0.00044	P       
75	86	0.00044	A       
75	86	0.0147	A       
75	86	0.0147	P       
75	87	0.107	A       
75	87	0.107	EC      
75	87	0.077	A       
75	87	0.077	EC      
75	88	0.39	EC      
75	88	0.39	A       
75	88	0.214	A       
75	88	0.214	EC      
75	89	0.85	A       
75	89	0.85	EC      
75	89	0.86	IT      
75	89	0.86	A       
75	90	1	A       
75	90	1	EC      
75	90	2.1	EC      
75	90	2.1	A       
75	91	2.25	A       
75	91	2.25	EC      
75	92	5.9	EC      
75	92	5.9	A       
75	92	3.4	A       
75	93	4.4	EC      
75	93	4.4	A       
75	94	8.1	EC      
75	94	8.1	A       
75	94	15.1	EC      
75	94	15.1	IT      
75	94	15.1	A       
75	95	9.2	EC      
75	96	15.2	EC      
75	97	55	EC      
75	97	15	EC      
75	98	118.8	EC      
75	99	144	EC      
75	100	353.4	EC      
75	101	318	EC      
75	102	840	EC      
75	103	792	EC      
75	104	1170	EC      
75	104	0.000466	IT      
75	105	146.4	EC      
75	106	71640	EC      
75	107	230400	EC      
75	107	45720	EC      
75	108	6048000	EC      
75	108	0.00104	IT      
75	109	3058560	EC      
75	109	14600000	IT      
75	109	14600000	EC      
75	110	infinity                 	        
75	111	321287.04	B-      
75	111	321287.04	EC      
75	111	6312000000000	IT      
75	112	1366000000000000000	B-      
75	112	1366000000000000000	A       
75	113	61210.8	B-      
75	113	1115.4	IT      
75	114	87480	B-      
75	115	186	B-      
75	115	11520	IT      
75	115	11520	B-      
75	116	588	B-      
75	117	16	B-      
75	118	                         	        
75	119	5	B-      
75	119	5	B-      
75	119	5	B-      
75	120	6	B-      
75	121	3	B-      
75	123	                         	        
76	85	0.00064	A       
76	86	0.0021	A       
76	87	0.0055	A       
76	87	0.0055	EC      
76	88	0.021	A       
76	88	0.021	EC      
76	89	0.071	A       
76	89	0.071	EC      
76	90	0.199	A       
76	90	0.199	EC      
76	91	0.81	EC      
76	91	0.81	A       
76	92	2.1	EC      
76	92	2.1	A       
76	93	3.43	EC      
76	93	3.43	A       
76	94	7.37	EC      
76	94	7.37	A       
76	95	8.3	EC      
76	95	8.3	A       
76	96	19.2	EC      
76	96	19.2	A       
76	97	22.4	EC      
76	97	22.4	A       
76	98	44	EC      
76	98	44	A       
76	99	84	EC      
76	100	216	EC      
76	101	180	EC      
76	102	300	EC      
76	102	300	A       
76	103	390	EC      
76	104	1290	EC      
76	105	6300	EC      
76	105	162	EC      
76	105	162	IT      
76	106	78624	EC      
76	106	0.00078	IT      
76	107	46800	EC      
76	107	35640	EC      
76	107	35640	IT      
76	108	1767000000000000000000	A       
76	109	8087039.1	EC      
76	110	63120000000000000000000	A       
76	111	infinity                 	        
76	112	infinity                 	        
76	113	infinity                 	        
76	113	20916	IT      
76	114	infinity                 	        
76	114	594	IT      
76	115	1330560	B-      
76	115	47160	IT      
76	116	infinity                 	        
76	116	5.9	B-      
76	116	5.9	IT      
76	117	108396	B-      
76	118	189300000	B-      
76	119	540	B-      
76	120	2094	B-      
76	121	168	B-      
76	122	                         	B-      
76	123	5	B-      
76	124	6	B-      
76	125	0.0000003	B-      
76	126	0.0000003	B-      
77	87	0.000094	P       
77	87	0.000094	A       
77	87	0.000094	EC      
77	88	0.000001	P       
77	88	0.000001	A       
77	88	0.0003	P       
77	88	0.0003	A       
77	89	0.0105	A       
77	89	0.0105	P       
77	89	0.0151	P       
77	89	0.0151	A       
77	90	0.0352	A       
77	90	0.0352	P       
77	90	0.0352	EC      
77	90	0.0257	A       
77	90	0.0257	EC      
77	90	0.0257	P       
77	91	0.222	A       
77	91	0.222	EC      
77	91	0.222	P       
77	91	0.159	EC      
77	91	0.159	P       
77	91	0.159	A       
77	92	0.353	A       
77	92	0.353	EC      
77	92	0.353	P       
77	92	0.281	A       
77	92	0.281	EC      
77	92	0.281	P       
77	93	0.87	EC      
77	93	0.87	A       
77	93	0.811	IT      
77	93	0.811	EC      
77	93	0.811	A       
77	94	3.2	A       
77	94	3.2	P       
77	94	3.2	EC      
77	94	1.4	A       
77	94	1.4	P       
77	94	1.4	EC      
77	95	4.4	EC      
77	95	4.4	A       
77	95	2	EC      
77	95	2	A       
77	96	9	EC      
77	96	9	A       
77	96	2.4	EC      
77	96	2.4	A       
77	97	7.9	EC      
77	97	7.9	A       
77	97	4.9	EC      
77	97	4.9	A       
77	98	9	A       
77	98	9	EC      
77	99	8.7	EC      
77	99	8.7	A       
77	100	30	EC      
77	100	30	A       
77	101	12	EC      
77	102	79	EC      
77	103	90	EC      
77	104	294	EC      
77	105	900	EC      
77	106	3420	EC      
77	107	11124	EC      
77	108	51840	EC      
77	109	59904	EC      
77	109	6840	EC      
77	109	6840	IT      
77	110	37800	EC      
77	110	0.0303	IT      
77	111	149400	EC      
77	111	0.0042	EC      
77	111	0.0042	IT      
77	112	1140480	EC      
77	112	0.0133	IT      
77	112	0.0037	IT      
77	113	1017792	EC      
77	113	4032	IT      
77	113	11113.2	EC      
77	113	11113.2	IT      
77	114	infinity                 	        
77	114	4.899	IT      
77	114	5.5	IT      
77	115	6378825.6	EC      
77	115	6378825.6	B-      
77	115	87	IT      
77	115	87	B-      
77	115	7605000000	IT      
77	116	infinity                 	        
77	116	909792	IT      
77	117	69408	B-      
77	117	0.0319	IT      
77	117	14770000	B-      
77	118	9000	B-      
77	118	13680	B-      
77	118	13680	IT      
77	119	52	B-      
77	119	5040	B-      
77	119	5040	IT      
77	120	348	B-      
77	120	534	B-      
77	120	534	IT      
77	121	8	B-      
77	122	6	B-      
77	123	0.0000003	B-      
77	124	0.0000003	B-      
77	125	11	B-      
77	126	0.0000003	B-      
77	127	                         	        
78	88	0.0003	A       
78	89	0.0009	A       
78	90	0.00202	A       
78	91	0.007	A       
78	92	0.0138	A       
78	92	0.0138	EC      
78	93	0.0455	EC      
78	93	0.0455	A       
78	94	0.0976	A       
78	94	0.0976	EC      
78	95	0.382	A       
78	95	0.382	EC      
78	96	0.889	A       
78	96	0.889	EC      
78	97	2.53	A       
78	97	2.53	EC      
78	98	6.33	A       
78	98	6.33	EC      
78	99	10.6	EC      
78	99	10.6	A       
78	100	20.7	EC      
78	100	20.7	A       
78	101	21.2	EC      
78	101	21.2	A       
78	102	56	EC      
78	102	56	A       
78	103	52	EC      
78	103	52	A       
78	104	160.2	EC      
78	104	160.2	A       
78	105	390	EC      
78	105	390	A       
78	105	43	EC      
78	105	43	A       
78	105	43	IT      
78	106	1038	EC      
78	106	1038	A       
78	106	0.00101	IT      
78	107	4254	EC      
78	107	1980	EC      
78	107	1980	IT      
78	108	7488	EC      
78	108	7488	A       
78	109	8460	EC      
78	110	881279.1	EC      
78	110	881279.1	A       
78	111	39132	EC      
78	112	20512000000000000000	A       
78	113	244512	EC      
78	114	infinity                 	        
78	115	1578000000	EC      
78	115	374112	IT      
78	116	infinity                 	        
78	117	infinity                 	        
78	117	346464	IT      
78	118	infinity                 	        
78	119	71609.4	B-      
78	119	5724.6	IT      
78	119	5724.6	B-      
78	120	infinity                 	        
78	121	1848	B-      
78	121	13.6	IT      
78	122	45360	B-      
78	123	150	B-      
78	124	158400	B-      
78	124	0.00028	IT      
78	125	10	B-      
78	126	10.3	B-      
78	127	0.0000003	B-      
79	90	                         	P       
79	90	                         	A       
79	91	0.000286	P       
79	91	0.000286	A       
79	91	0.000617	P       
79	91	0.000617	A       
79	92	0.000017	P       
79	92	0.000017	A       
79	92	0.00102	A       
79	92	0.00102	P       
79	93	0.022	P       
79	93	0.022	A       
79	93	0.022	EC      
79	93	0.0077	A       
79	93	0.0077	P       
79	93	0.0077	EC      
79	94	0.025	A       
79	94	0.025	EC      
79	94	0.025	P       
79	94	0.014	A       
79	94	0.014	P       
79	94	0.014	EC      
79	95	0.139	A       
79	96	                         	EC      
79	96	                         	A       
79	96	0.156	A       
79	96	0.156	EC      
79	97	                         	        
79	97	1.05	EC      
79	97	1.05	A       
79	97	1.36	        
79	98	1.53	A       
79	98	1.53	EC      
79	98	1	EC      
79	98	1	A       
79	99	2.6	EC      
79	99	2.6	A       
79	100	7.1	EC      
79	100	7.1	A       
79	101	8.1	EC      
79	101	8.1	A       
79	102	13.7	EC      
79	102	13.7	A       
79	103	15.5	A       
79	103	15.5	EC      
79	104	42.8	EC      
79	104	42.8	A       
79	105	20.6	EC      
79	105	20.6	A       
79	105	47.6	EC      
79	105	47.6	IT      
79	105	47.6	A       
79	106	255	EC      
79	106	255	A       
79	106	408	IT      
79	106	408	EC      
79	107	642	EC      
79	107	642	A       
79	108	498	EC      
79	108	498	A       
79	108	2.3	IT      
79	109	530.4	EC      
79	110	1722	EC      
79	110	1722	A       
79	110	275.4	EC      
79	111	2568	A       
79	111	2568	EC      
79	111	0.125	IT      
79	112	11448	EC      
79	112	0.92	IT      
79	113	17784	EC      
79	113	0.029	IT      
79	113	0.16	IT      
79	114	63539.1	EC      
79	114	3.9	IT      
79	114	3.9	EC      
79	115	136872	EC      
79	115	0.6	IT      
79	115	0.42	IT      
79	116	16080000	EC      
79	116	30.5	IT      
79	117	532820.16	EC      
79	117	532820.16	B-      
79	117	8.1	IT      
79	117	34560	IT      
79	118	infinity                 	        
79	118	7.73	IT      
79	119	232830.72	B-      
79	119	196300.8	IT      
79	120	271209.6	B-      
79	120	0.00044	IT      
79	121	2904	B-      
79	121	67320	B-      
79	121	67320	IT      
79	122	1560	B-      
79	123	28.4	B-      
79	124	60	B-      
79	125	39.8	B-      
79	126	32.5	B-      
79	126	6	B-      
79	126	6	IT      
79	127	0.0000003	B-      
79	128	0.0000003	B-      
79	128	0.0000003	BN      
79	129	0.0000003	B-      
79	129	0.0000003	BN      
79	130	0.0000003	B-      
79	130	0.0000003	BN      
79	131	0.0000003	B-      
79	131	0.0000003	BN      
80	91	0.000059	A       
80	92	0.000231	A       
80	93	0.0006	A       
80	94	0.0021	A       
80	95	0.0106	A       
80	96	0.0203	A       
80	97	0.118	A       
80	98	0.267	A       
80	98	0.267	EC      
80	99	1.05	A       
80	99	1.05	EC      
80	99	1.05	EP      
80	100	2.58	EC      
80	100	2.58	A       
80	101	3.6	EC      
80	101	3.6	A       
80	101	3.6	EP      
80	101	3.6	EA      
80	102	10.83	EC      
80	102	10.83	A       
80	103	9.4	EC      
80	103	9.4	A       
80	103	9.4	EP      
80	104	30.87	EC      
80	104	30.87	A       
80	105	49.1	EC      
80	105	49.1	A       
80	105	21.6	IT      
80	105	21.6	EC      
80	105	21.6	A       
80	106	82.8	EC      
80	106	82.8	A       
80	107	144	EC      
80	107	144	A       
80	107	114	EC      
80	107	114	A       
80	108	195	EC      
80	108	195	A       
80	109	456	EC      
80	109	456	A       
80	109	516	A       
80	109	516	EC      
80	110	1200	EC      
80	110	1200	A       
80	111	2940	EC      
80	111	2940	A       
80	111	3048	EC      
80	112	17460	EC      
80	113	13680	EC      
80	113	42480	EC      
80	113	42480	IT      
80	114	14010000000	EC      
80	115	37908	EC      
80	115	149760	IT      
80	115	149760	EC      
80	116	infinity                 	        
80	117	230904	EC      
80	117	85680	IT      
80	117	85680	EC      
80	118	infinity                 	        
80	119	infinity                 	        
80	119	2560.2	IT      
80	120	infinity                 	        
80	121	infinity                 	        
80	122	infinity                 	        
80	123	4025721.6	B-      
80	124	infinity                 	        
80	125	308.4	B-      
80	125	0.00109	IT      
80	126	499.2	B-      
80	127	174	B-      
80	128	2460	B-      
80	129	35	B-      
80	130	0.0000003	B-      
80	131	0.0000003	B-      
80	131	0.0000003	BN      
80	132	0.0000003	B-      
80	132	0.0000003	BN      
80	133	0.0000003	B-      
80	133	0.0000003	BN      
80	134	0.0000003	B-      
80	134	0.0000003	BN      
80	135	0.0000003	B-      
80	135	0.0000003	BN      
80	136	0.0000003	B-      
80	136	0.0000003	BN      
81	95	0.0052	P       
81	96	0.018	A       
81	96	0.018	P       
81	97	0.254	A       
81	97	0.254	EC      
81	98	0.23	A       
81	98	0.23	EC      
81	98	0.23	P       
81	98	0.0015	A       
81	98	0.0015	P       
81	98	0.0015	EC      
81	98	0.0015	IT      
81	99	1.09	EC      
81	99	1.09	A       
81	99	1.09	EF      
81	100	3.2	EC      
81	100	3.2	A       
81	100	0.0014	IT      
81	100	0.0014	A       
81	101	3.1	EC      
81	101	3.1	A       
81	102	6.9	A       
81	102	6.9	EC      
81	102	0.0533	IT      
81	102	0.0533	EC      
81	102	0.0533	A       
81	103	10.1	EC      
81	103	10.1	A       
81	104	19.5	EC      
81	104	1.93	IT      
81	104	1.93	A       
81	105	27.5	EC      
81	105	27.5	A       
81	105	2.9	IT      
81	106	51	EC      
81	106	51	A       
81	106	15.6	EC      
81	106	15.6	IT      
81	106	15.6	A       
81	107	71	EC      
81	107	71	EC      
81	107	0.041	IT      
81	107	0.041	EC      
81	108	138	EC      
81	108	84	EC      
81	108	84	IT      
81	109	156	EC      
81	109	222	EC      
81	109	0.00075	IT      
81	110	                         	        
81	110	313.2	        
81	111	576	EC      
81	111	648	EC      
81	112	1296	EC      
81	112	126.6	IT      
81	112	126.6	EC      
81	113	1980	EC      
81	113	1980	A       
81	113	1967.1	EC      
81	114	4176	EC      
81	114	3.6	IT      
81	115	6624	EC      
81	115	5076	EC      
81	115	5076	IT      
81	116	10224	EC      
81	116	0.54	IT      
81	117	19080	EC      
81	117	6732	EC      
81	117	6732	IT      
81	117	0.0321	IT      
81	118	26712	EC      
81	118	0.0284	IT      
81	119	93960	EC      
81	119	0.034	IT      
81	120	262837.44	EC      
81	120	0.00201	IT      
81	121	1063584	EC      
81	122	infinity                 	        
81	123	119400000	B-      
81	123	119400000	EC      
81	124	infinity                 	        
81	125	252.12	B-      
81	125	224.4	IT      
81	126	286.2	B-      
81	126	1.33	IT      
81	127	183.18	B-      
81	128	129.66	B-      
81	129	78	B-      
81	129	78	BN      
81	130	0.0000003	B-      
81	131	0.0000003	B-      
81	132	101	B-      
81	133	0.0000003	B-      
81	133	0.0000003	BN      
81	134	0.0000003	B-      
81	134	0.0000003	BN      
81	135	0.0000003	B-      
81	135	0.0000003	BN      
81	136	0.0000003	B-      
81	136	0.0000003	BN      
82	96	0.00012	A       
82	97	0.0035	A       
82	98	0.0042	A       
82	99	0.036	A       
82	99	0.045	A       
82	100	0.055	A       
82	100	0.055	EC      
82	101	0.535	A       
82	101	0.415	A       
82	102	0.49	A       
82	102	0.49	EC      
82	103	6.3	EC      
82	103	6.3	A       
82	103	4.3	A       
82	103	4.3	EC      
82	104	4.82	EC      
82	104	4.82	A       
82	105	18.3	EC      
82	105	18.3	A       
82	105	15.2	EC      
82	105	15.2	A       
82	106	25.1	EC      
82	106	25.1	A       
82	107	39	EC      
82	107	39	A       
82	107	50	A       
82	107	50	EC      
82	108	71	EC      
82	108	71	A       
82	109	79.8	EC      
82	109	79.8	A       
82	109	130.8	EC      
82	109	130.8	A       
82	110	210	EC      
82	110	210	A       
82	111	                         	EC      
82	111	348	EC      
82	112	642	EC      
82	112	642	A       
82	113	900	EC      
82	113	900	EC      
82	114	2220	EC      
82	114	2220	A       
82	115	486	EC      
82	115	2574	EC      
82	115	2574	IT      
82	116	8640	EC      
82	117	5400	EC      
82	117	732	IT      
82	117	732	EC      
82	118	77400	EC      
82	119	33588	EC      
82	119	60.8	IT      
82	120	1657000000000	EC      
82	120	12744	IT      
82	120	12744	EC      
82	121	186912	EC      
82	121	6.21	IT      
82	121	0.48	IT      
82	122	4418000000000000000000000	A       
82	122	4015.8	IT      
82	123	545900000000000	EC      
82	123	0.00555	IT      
82	124	infinity                 	        
82	125	infinity                 	        
82	125	0.806	IT      
82	126	infinity                 	        
82	127	11710.8	B-      
82	128	700579000	B-      
82	128	700579000	A       
82	129	2166	B-      
82	130	38304	B-      
82	131	612	B-      
82	132	1608	B-      
82	133	147	B-      
82	134	0.0000003	B-      
82	135	0.0000003	B-      
82	136	0.0000003	B-      
82	137	0.0000003	B-      
82	138	0.0000003	B-      
83	101	0.013	A       
83	101	0.013	A       
83	102	0.000058	P       
83	102	0.000058	A       
83	103	0.015	A       
83	103	0.0098	A       
83	104	0.037	A       
83	104	0.00037	A       
83	105	0.265	A       
83	105	0.265	EC      
83	105	0.06	A       
83	105	0.06	EC      
83	106	0.674	A       
83	106	0.674	EC      
83	106	0.005	A       
83	106	0.005	EC      
83	107	6.3	A       
83	107	6.3	EC      
83	107	6.2	A       
83	107	6.2	EC      
83	108	12.4	A       
83	108	12.4	EC      
83	108	0.125	A       
83	108	0.125	IT      
83	108	0.125	EC      
83	109	34.6	EC      
83	109	34.6	A       
83	109	39.6	EC      
83	109	39.6	A       
83	110	63.6	EC      
83	110	63.6	A       
83	110	3.2	A       
83	110	3.2	EC      
83	111	95	EC      
83	111	95	A       
83	111	125	EC      
83	111	115	EC      
83	111	115	A       
83	112	183	EC      
83	112	183	A       
83	112	87	EC      
83	112	87	A       
83	113	308	EC      
83	113	308	A       
83	113	0.6	EC      
83	113	0.6	IT      
83	113	240	EC      
83	113	240	IT      
83	113	240	A       
83	114	559.8	EC      
83	114	559.8	A       
83	114	302.4	EC      
83	114	302.4	IT      
83	114	302.4	A       
83	115	618	EC      
83	115	696	EC      
83	115	7.7	IT      
83	116	1620	EC      
83	116	1482	EC      
83	116	1482	IT      
83	116	1482	A       
83	117	2184	EC      
83	117	1860	EC      
83	117	0.4	IT      
83	118	6180	EC      
83	118	3450	EC      
83	118	3450	IT      
83	118	3450	A       
83	119	6156	EC      
83	120	42336	EC      
83	120	0.305	IT      
83	121	40392	EC      
83	121	0.013	IT      
83	121	0.00107	IT      
83	122	1322784	EC      
83	123	539395.2	EC      
83	123	0.00089	IT      
83	124	995600000	EC      
83	125	11610000000000	EC      
83	125	0.00258	IT      
83	126	infinity                 	        
83	127	433036.8	B-      
83	127	433036.8	A       
83	127	95940000000000	A       
83	128	128.4	A       
83	128	128.4	B-      
83	129	3633	B-      
83	129	3633	A       
83	129	1500	A       
83	129	1500	B-      
83	129	1500	BA      
83	129	420	B-      
83	130	2735.4	B-      
83	130	2735.4	A       
83	131	1194	A       
83	131	1194	B-      
83	132	456	B-      
83	132	36.9	IT      
83	132	36.9	B-      
83	133	135	B-      
83	133	396	B-      
83	134	98.5	B-      
83	135	33	B-      
83	136	0.0000003	B-      
83	137	0.0000003	B-      
83	138	0.0000003	BN      
